customer_id,treatment,contract_value_per_month,contract_duration_months,feature_usage_count,days_since_last_login,api_calls_30d,seats_purchased,seats_active,support_tickets,csat_score,industry,company_size,integrations_enabled,onboarding_completed,churned
B2B00000,0,499,22,39,6,19,5,2,3,37.49547213707619,Other,51-200,4,1,0
B2B00001,0,499,24,22,4,15716,5,2,0,93.2270871782915,Retail,201-1000,1,1,0
B2B00002,0,199,1,30,6,54,50,21,2,82.32351008419822,Healthcare,11-50,1,1,0
B2B00003,0,99,8,31,13,332,10,5,0,93.97308556845843,Other,11-50,1,0,0
B2B00004,0,99,28,21,1,70,10,7,1,82.79043356496483,Other,11-50,3,0,0
B2B00005,0,199,9,21,9,279,5,2,1,91.17605490196794,Healthcare,51-200,3,0,0
B2B00006,0,99,1,22,5,12801,25,10,1,62.0378902039366,Other,1-10,5,1,0
B2B00007,0,499,7,26,11,1105,10,4,1,61.694378900720125,Healthcare,1-10,2,0,0
B2B00008,0,99,22,30,5,3460,10,4,4,74.70190738331674,Other,11-50,2,1,0
B2B00009,0,99,11,33,0,115,5,3,2,88.82190083422269,Retail,11-50,1,0,0
B2B00010,0,199,16,16,1,1805,5,4,3,95.80917609812984,Retail,1-10,1,1,0
B2B00011,0,99,1,30,7,474,5,2,0,70.54075692739603,Retail,51-200,2,1,0
B2B00012,0,199,3,15,3,422,10,6,2,76.5638115214226,Other,51-200,1,1,0
B2B00013,0,499,2,26,14,114,10,9,3,76.94184089720859,Retail,11-50,5,1,0
B2B00014,0,1999,7,25,7,646,5,2,1,75.72276364690626,Other,51-200,1,0,1
B2B00015,0,499,17,29,13,21,10,9,2,61.73306792359556,Finance,11-50,6,1,0
B2B00016,0,199,8,26,1,124,250,202,0,75.57512654608396,Finance,1000+,2,1,0
B2B00017,0,199,16,34,8,730,5,3,3,68.43329069637835,Retail,51-200,2,1,0
B2B00018,0,1999,15,35,2,2644,250,174,1,64.17521636209752,Healthcare,201-1000,1,1,0
B2B00019,0,199,17,21,15,665,5,2,1,85.4810888563918,Finance,11-50,1,1,0
B2B00020,1,99,12,32,20,53,10,4,4,91.09985874882958,Finance,11-50,3,0,0
B2B00021,0,499,12,13,7,66,25,13,1,80.27922712088204,Other,51-200,1,1,0
B2B00022,0,199,4,30,11,621,10,4,1,58.49927962989867,Other,1-10,2,0,0
B2B00023,0,199,1,25,5,774,100,63,0,71.57422229347357,Retail,1-10,3,1,0
B2B00024,0,1999,9,26,4,249,5,2,0,83.59895647485082,Retail,51-200,6,1,0
B2B00025,0,199,2,33,0,18,25,24,0,87.523934099224,Retail,51-200,0,1,0
B2B00026,0,999,7,26,0,2,10,7,3,89.44408553870028,Other,1-10,0,0,0
B2B00027,0,199,5,28,9,378,5,2,2,68.8205429063028,Finance,1-10,2,0,0
B2B00028,0,499,3,31,4,438,50,43,0,62.0677922107674,Technology,1-10,1,1,0
B2B00029,0,99,4,23,11,317,5,2,1,85.3251840165161,Technology,201-1000,2,1,0
B2B00030,0,499,6,26,0,23,5,4,0,79.24738019304559,Healthcare,1-10,1,0,0
B2B00031,0,499,7,22,14,264,5,2,0,84.53145672019468,Healthcare,1-10,1,1,0
B2B00032,1,99,8,23,0,1554,25,15,0,87.16671086315702,Finance,51-200,3,0,0
B2B00033,0,199,13,31,13,485,10,5,2,93.80122435723152,Other,1000+,3,1,0
B2B00034,1,99,17,27,3,1487,5,2,0,80.63707637372768,Finance,51-200,1,1,0
B2B00035,0,999,11,13,3,4,5,2,6,89.65501635656186,Other,51-200,1,0,1
B2B00036,0,199,8,31,8,13,50,42,3,51.561696462898,Other,1-10,3,0,0
B2B00037,0,99,4,31,20,152,5,2,0,79.98592288288502,Other,51-200,0,1,0
B2B00038,0,99,13,18,8,79,10,7,0,69.27234845347405,Other,11-50,2,0,0
B2B00039,0,4999,9,24,13,224,10,6,0,71.22901195090185,Technology,201-1000,1,1,0
B2B00040,0,499,12,25,6,961,10,7,1,74.56860033736697,Healthcare,11-50,1,1,0
B2B00041,1,99,3,26,1,824,10,6,2,75.65189885569097,Retail,1-10,1,1,0
B2B00042,1,199,8,23,1,394,25,17,0,69.75746001958824,Finance,201-1000,0,1,0
B2B00043,0,199,7,24,9,40,25,12,1,72.91073406450113,Technology,11-50,1,0,0
B2B00044,0,499,7,25,0,3,10,8,1,79.36099073647598,Finance,1-10,4,1,0
B2B00045,1,199,23,23,12,1194,5,2,4,85.19486432967416,Other,201-1000,2,1,0
