mens,womens,recency,history,zip_code,newbie,channel,visit,conversion,spend
0,1,3,601.1854582811195,Rural,1,Web,0,0,0.0
1,0,1,60.164564837436785,Suburban,0,Web,0,0,0.0
1,0,2,234.9595597711904,Urban,0,Phone,1,1,74.44541658128009
1,0,1,46.120752438982265,Rural,0,Web,0,0,0.0
1,0,1,19.5917132375239,Suburban,0,Multichannel,1,0,0.0
0,0,6,264.7591593969083,Urban,1,Web,0,0,0.0
1,0,1,37.95982815926338,Rural,1,Phone,0,0,0.0
0,0,1,257.57094799592136,Urban,0,Phone,0,0,0.0
0,0,5,700.6191463792118,Urban,1,Web,1,0,0.0
0,1,5,10.0,Suburban,0,Phone,1,0,0.0
0,0,11,174.41390707202777,Suburban,0,Phone,0,0,0.0
0,1,2,131.5507967338095,Suburban,0,Web,0,0,0.0
0,0,5,79.0078092985386,Suburban,0,Web,0,0,0.0
1,0,5,473.9304009978994,Rural,0,Web,0,0,0.0
0,0,7,114.3497909582446,Urban,1,Multichannel,0,0,0.0
1,0,12,446.3734694870074,Suburban,0,Phone,1,0,0.0
0,0,2,697.7202707693873,Suburban,0,Multichannel,0,0,0.0
0,0,1,108.36180299846505,Suburban,0,Web,0,0,0.0
0,0,4,81.92555351161803,Suburban,0,Multichannel,1,0,0.0
0,0,12,122.12829506059056,Rural,1,Multichannel,0,0,0.0
0,0,12,54.72899256496034,Suburban,0,Web,0,0,0.0
1,0,2,65.97631830123257,Urban,0,Web,0,0,0.0
0,1,2,364.8522409196699,Suburban,0,Multichannel,0,0,0.0
1,0,11,442.2870239105603,Urban,1,Web,0,0,0.0
1,0,11,483.9202255094792,Urban,0,Web,0,0,0.0
0,0,9,284.59811705509156,Suburban,0,Web,0,0,0.0
1,0,10,127.3801170468241,Urban,0,Multichannel,0,0,0.0
0,0,3,60.82085929201797,Suburban,0,Web,0,0,0.0
0,1,8,448.18639069477024,Rural,0,Web,0,0,0.0
0,1,2,551.5813882246556,Suburban,0,Web,0,0,0.0
0,0,3,63.374840869570924,Suburban,0,Web,0,0,0.0
0,0,5,626.6990396632295,Suburban,0,Web,1,0,0.0
0,1,1,288.3022599774381,Urban,0,Web,0,0,0.0
1,0,1,107.5241045446729,Urban,0,Phone,1,0,0.0
0,0,6,60.92801117788392,Suburban,1,Web,0,0,0.0
0,1,9,43.9261033184143,Urban,1,Phone,1,0,0.0
